Name,ScorePct,Score,Price,
Intel Xeon Gold 6242 @ 2.80GHz,18%,26288,1295.55,
Intel Core i5-13400F,18%,26158,209.93,
Intel Core i5-13400,17%,26071,239.99,
Apple M2 Max 12 Core 3680 MHz,17%,26067,
Intel Xeon W-3235 @ 3.30GHz,17%,26063,1998.95*,
Intel Xeon W-2265 @ 3.50GHz,17%,26052,1190.64*,
AMD Ryzen 7 5800,17%,25941,
Intel Xeon Gold 5218R @ 2.10GHz,17%,25916,940.00,
Intel Xeon W-3323 @ 3.50GHz,17%,25875,949.00*,
Intel Xeon E5-2698R v4 @ 2.20GHz,17%,25605,
Intel Core i9-11900K @ 3.50GHz,17%,25524,342.10,
Intel Xeon Gold 6150 @ 2.70GHz,17%,25487,473.00,
AMD EPYC 7351P,17%,25484,339.97,
AMD Ryzen 7 7735H,17%,25461,
Intel Xeon W-1390P @ 3.50GHz,17%,25451,
Intel Xeon Platinum 8167M @ 2.00GHz,17%,25396,
Intel Core i9-11900KF @ 3.50GHz,17%,25389,349.29,
Intel Core i9-9920X @ 3.50GHz,17%,25293,799.99,
Intel Xeon E5-2696 v4 @ 2.20GHz,17%,25139,2498.95,
Intel Xeon W-1370P @ 3.60GHz,17%,24961,499.99,
AMD Ryzen Threadripper 2920X,17%,24951,1145.00,
AMD EPYC 7501,17%,24925,3616.00*,
Intel Xeon Gold 6138T @ 2.00GHz,17%,24800,3345.78*,
AMD Ryzen 9 6900HX,17%,24787,
Intel Xeon Gold 6143 @ 2.80GHz,17%,24786,
Intel Xeon Gold 5220 @ 2.20GHz,17%,24736,1399.12,
Intel Xeon E5-2699 v4 @ 2.20GHz,17%,24667,7455.88*,
Intel Core i7-11700K @ 3.60GHz,17%,24666,279.99,
AMD Ryzen 7 5700G,16%,24632,178.00,
AMD Ryzen 7 PRO 5750G,16%,24568,
Intel Core i7-12800H,16%,24538,457.00*,
AMD Ryzen 7 7735HS,16%,24481,
Intel Core i7-12650H,16%,24460,457.00*,
Intel Xeon Gold 6246 @ 3.30GHz,16%,24446,3113.22*,
Intel Xeon E5-2679 v4 @ 2.50GHz,16%,24131,2702.00*,
Intel Core i5-12600HX,16%,24128,284.00*,
Intel Core i7-11700KF @ 3.60GHz,16%,24103,269.87,
Intel Core i5-13500H,16%,24074,
AMD Ryzen 9 6900HS,16%,24009,
Intel Xeon W-2170B @ 2.50GHz,16%,23964,
Intel Xeon W-1370 @ 2.90GHz,16%,23908,469.99,
Intel Xeon W-1390 @ 2.80GHz,16%,23902,573.99,
AMD Ryzen 7 5700,16%,23862,
AMD Ryzen 7 7736U,16%,23860,
Intel Xeon E-2388G @ 3.20GHz,16%,23844,539.00*,
Intel Xeon Gold 6122 @ 1.80GHz,16%,23781,2002.00*,
AMD Ryzen 9 5980HX,16%,23754,
AMD Ryzen 7 6800H,16%,23739,
AMD Ryzen 7 3800XT,16%,23730,217.18,
Intel Xeon W-11865MRE @ 2.60GHz,16%,23702,480.00*,
Intel Core i9-7920X @ 2.90GHz,16%,23634,259.99,
Intel Core i7-1370P,16%,23606,
AMD EPYC 7351,16%,23566,899.00,
Intel Xeon Gold 6146 @ 3.20GHz,16%,23417,1667.00,
Intel Xeon Silver 4310 @ 2.10GHz,16%,23372,478.81,
Intel Core i9-11980HK @ 2.60GHz,16%,23354,583.00*,
Intel Core i9-10900K @ 3.70GHz,16%,23326,343.99,
Intel Xeon E5-2696 v3 @ 2.30GHz,16%,23322,2498.00*,
AMD EPYC 7F32,16%,23311,2465.51*,
AMD Ryzen 9 PRO 6950HS,16%,23295,
AMD Ryzen 7 PRO 6850H,16%,23274,
AMD Ryzen 7 3800X,16%,23270,304.99,
Intel Core i5-12600H,15%,23180,311.00*,
Intel Xeon Platinum 8176 @ 2.10GHz,15%,23179,2793.70*,
Intel Core i9-11900KB @ 3.30GHz,15%,23147,539.00*,
AMD Ryzen 7 6800HS Creator Edition,15%,23087,
Intel Xeon E5-2698 v4 @ 2.20GHz,15%,23048,908.70*,
Intel Xeon W-11955M @ 2.60GHz,15%,23013,623.00*,
Intel Core i9-11900 @ 2.50GHz,15%,23006,389.00,
Intel Core i9-10900KF @ 3.70GHz,15%,23005,368.99,
AMD Ryzen 7 PRO 3700,15%,22998,329.99*,
AMD Ryzen 7 6800HS,15%,22971,
Intel Xeon W-2175 @ 2.50GHz,15%,22962,800.00*,
Intel Core i9-11900F @ 2.50GHz,15%,22933,418.99,
AMD Ryzen 9 5900HX,15%,22869,
Intel Core i7-11700B @ 3.20GHz,15%,22832,
Intel Xeon Gold 6152 @ 2.10GHz,15%,22802,341.00,
Intel Xeon E-2378G @ 2.80GHz,15%,22755,530.00*,
Intel Core i9-10850K @ 3.60GHz,15%,22743,299.99,
Intel Xeon Gold 6140 @ 2.30GHz,15%,22733,316.20,
